,cosine,dates,format_change?,sentiment_d,date_delta
GPS,0.9864131697541151,"['2019-03-19', '2018-03-20']",0,0.06451476793008315,3
GRMN,0.9935469016230417,"['2019-02-20', '2018-02-21']",0,0.041858817308328286,3
IT,0.9816487278999324,"['2019-02-22', '2018-02-22']",0,-0.05322425774034704,2
GD,0.9586746262114573,"['2019-02-13', '2018-02-12']",0,0.1610232389704772,1
GE,0.9877321563930938,"['2019-02-26', '2018-02-23']",0,-0.0914812027097666,1
GIS,0.9899324963658857,"['2019-06-28', '2018-06-29']",0,0.17006019659068988,3
GM,0.9829138543325465,"['2019-02-06', '2018-02-06']",0,-0.08284109605451297,2
GPN,0.9911027235641914,"['2019-02-21', '2018-02-23']",0,-0.02489515002759508,4
GS,0.9957783650129342,"['2019-02-26', '2018-02-26']",0,-0.03688825986713294,2
GT,0.9959419620211613,"['2019-02-08', '2018-02-08']",0,-0.0039043980851323455,2
GWW,0.9803100516503159,"['2019-02-28', '2018-02-26']",0,-0.012015160687431258,0
HAL,0.10471040937554234,"['2019-02-13', '2018-02-09']",1,0.36785727293069187,0
HBI,0.9895987066954005,"['2019-02-11', '2018-02-09']",0,0.04927631550826067,2
HOG,0.9951099871663841,"['2019-02-28', '2018-02-21']",0,0.010214634007642666,-3
HIG,0.07458812529222632,"['2019-02-22', '2018-02-23']",1,0.0720002623959165,3
HAS,0.9887510645387207,"['2019-02-26', '2018-02-26']",0,0.04917102327752789,2
HCA,0.9861097033094165,"['2019-02-21', '2018-02-23']",0,0.4986412042424464,4
HCP,0.991532418015367,"['2019-02-14', '2018-02-13']",0,-0.06662644611723904,1
HP,0.8703393232003389,"['2018-11-16', '2017-11-22']",0,0.1819952038818601,6
HSIC,0.9844135790851601,"['2019-02-20', '2018-02-21']",0,-0.11351662817584156,3
HES,0.9908589775138887,"['2019-02-21', '2018-02-21']",0,-0.04105442018809942,2
HPE,0.9889027312399291,"['2018-12-12', '2017-12-15']",0,0.13577435515090644,5
HLT,0.989985598803423,"['2019-02-13', '2018-02-14']",0,0.028575784274340394,3
HOLX,0.9915123896892408,"['2018-11-20', '2017-11-21']",0,0.006466012171240697,3
HD,0.9892568229604068,"['2019-03-28', '2018-03-22']",0,0.026729251711252806,-2
HON,0.9862254819986547,"['2019-02-08', '2018-02-09']",0,0.295465255996776,3
HRL,0.7097454412090208,"['2018-12-07', '2017-12-20']",0,1.3928224910328122,11
HST,0.9956473066858927,"['2019-02-26', '2018-02-27']",0,0.05116685173900546,3
HPQ,0.9932980088776664,"['2018-12-13', '2017-12-15']",0,0.05798165402075167,4
HUM,0.9900877393046831,"['2019-02-21', '2018-02-16']",0,0.0355426561236559,-1
HBAN,0.9931430781199526,"['2019-02-15', '2018-02-16']",0,-0.05724331836164375,3
HII,0.9852272703140003,"['2019-02-14', '2018-02-15']",0,0.0728573286823643,3
IDXX,0.9894851192646924,"['2019-02-15', '2018-02-16']",0,-0.137019497775725,3
INFO,0.9916922661105481,"['2019-01-18', '2018-01-23']",0,-0.02650663171363275,5
ITW,0.9927024149819763,"['2019-02-15', '2018-02-15']",0,0.0779093718284193,2
ILMN,0.9865134194093147,"['2019-02-12', '2018-02-13']",0,-0.048242366737342224,3
INCY,0.9925698309176665,"['2019-02-14', '2018-02-15']",0,-0.086188206902955,3
IR,0.9925751760171884,"['2019-02-12', '2018-02-12']",0,0.09633143762279296,2
INTC,0.9797473401111875,"['2019-02-01', '2018-02-16']",0,0.17973642167701784,13
ICE,0.9728308394809189,"['2019-02-07', '2018-02-07']",0,-0.05521478586212822,2
IBM,0.9872611834432685,"['2019-02-26', '2018-02-27']",0,-0.10844367580957866,3
IP,0.9937348067696263,"['2019-02-20', '2018-02-22']",0,-0.04584439560335013,4
IPG,0.9756428488199402,"['2019-02-25', '2018-02-26']",0,-0.01683473945428808,3
IFF,0.959076308255121,"['2019-02-26', '2018-02-27']",0,-0.04522711959923365,3
INTU,1.0000000000000027,"['2019-08-30', '2018-08-31']",0,0.0,3
ISRG,0.9878517716545946,"['2019-02-04', '2018-02-02']",0,-0.029547065822655833,2
IVZ,0.994078283415207,"['2019-02-22', '2018-02-23']",0,0.01698349462094627,3
IPGP,0.09176302206724482,"['2019-02-27', '2018-02-28']",1,0.07413970879227003,3
IQV,0.9893799021033687,"['2019-02-19', '2018-02-16']",0,-0.0037639131243434815,1
IRM,0.9910812013157795,"['2019-02-14', '2018-02-16']",0,-0.06799935532504808,4
JBHT,0.989636511551646,"['2019-02-22', '2018-02-23']",0,-0.12215141819131846,3
JEC,0.9739786273404867,"['2018-11-21', '2017-11-21']",0,-0.04124806137127107,2
SJM,0.7388248205172915,"['2019-06-17', '2018-06-18']",0,-0.08116799209409253,3
JNJ,0.9914816900234203,"['2019-02-20', '2018-02-21']",0,-0.04579825725823584,3
JCI,0.9948014838944998,"['2018-11-20', '2017-11-21']",0,0.06153942836590597,3
JPM,0.07724564147434902,"['2019-02-26', '2018-02-27']",1,0.7383641933663665,3
JNPR,0.9925687295874642,"['2019-02-22', '2018-02-23']",0,0.0017448781630985954,3
KSU,0.9944331243895194,"['2019-01-25', '2018-01-26']",0,0.2811025529454296,3
K,0.9838240101552529,"['2019-02-25', '2018-02-20']",0,-0.00649353017790808,-1
KEY,0.0837367867188233,"['2019-02-25', '2018-02-26']",1,-0.18020745298840954,3
KMB,0.9945427158550542,"['2019-02-07', '2018-02-08']",0,-0.030077058212174785,3
KIM,0.9954454150290192,"['2019-02-15', '2018-02-23']",0,0.0633131285709247,8
KMI,0.9892570260288895,"['2019-02-08', '2018-02-09']",0,-0.07723423749464366,3
KLAC,0.9459564214019602,"['2019-08-16', '2018-08-06']",0,0.10110133732112275,-6
KSS,0.983135824719667,"['2019-03-22', '2018-03-23']",0,-0.09944108471402237,3
KR,0.31352892608798416,"['2019-04-02', '2018-04-18']",0,-0.48935382182488557,14
LB,0.9920740697338494,"['2019-03-22', '2018-03-23']",0,-0.04112456084253843,3
LH,0.9932057784112044,"['2019-02-28', '2018-02-27']",0,-0.04992600352218421,1
LRCX,0.0906515351902842,"['2019-08-20', '2018-08-14']",1,0.036890103209365546,-2
LEG,0.9833399327473547,"['2019-02-27', '2018-02-22']",0,-0.0666343688822371,-1
LEN,0.06044763617410351,"['2019-01-28', '2018-01-25']",1,0.01059957153234444,1
LLY,0.9865333958325545,"['2019-02-19', '2018-02-20']",0,0.007163791535833355,3
LNC,0.9970916860820764,"['2019-02-20', '2018-02-22']",0,-0.005315501445152345,4
LKQ,0.9876986795854347,"['2019-03-01', '2018-02-28']",0,0.09263804099446615,1
LMT,0.918116400943224,"['2019-02-08', '2018-02-16']",0,-0.06691028577526507,8
L,0.9886570066113308,"['2019-02-13', '2018-02-15']",0,-0.007966869242761578,4
LOW,0.9841321378603444,"['2019-04-02', '2018-04-02']",0,-0.02136798500938321,2
LYB,0.9926034558340151,"['2019-02-21', '2018-02-22']",0,0.18304999921511655,3
MTB,0.9962125168717045,"['2019-02-20', '2018-02-22']",0,0.02121381319377518,4
M,0.9918052132508427,"['2019-04-03', '2018-04-04']",0,-0.07028139426208886,3
MRO,0.9938685886827399,"['2019-02-21', '2018-02-22']",0,0.1381974261008678,3
MPC,0.9587503034229422,"['2019-02-28', '2018-02-28']",0,-0.2302782314122694,2
MAR,0.9762447169301691,"['2019-03-01', '2018-02-15']",0,-0.11440161231961625,-8
MMC,0.9919832272408732,"['2019-02-21', '2018-02-22']",0,0.026316510785295923,3
MAS,0.9909334513175947,"['2019-02-07', '2018-02-08']",0,-0.11086732626108897,3
MA,0.993142969635042,"['2019-02-13', '2018-02-14']",0,0.008576646042260577,3
MAT,0.9932839904328115,"['2019-02-22', '2018-02-27']",0,0.018063131469024944,5
MKC,0.9021758601539002,"['2019-01-25', '2018-02-02']",0,-0.2008271930850169,8
MCD,1.0000000000000027,"['2019-02-22', '2018-02-23']",0,0.0,3
MCK,0.9894355056450014,"['2019-05-15', '2018-05-24']",0,-0.0800453930697712,9
MDT,0.08478218958712924,"['2019-06-21', '2018-06-22']",1,-0.004505654845122692,3
MRK,0.9904968571708179,"['2019-02-27', '2018-02-27']",0,0.07410089395936266,2
MET,0.9965731985357522,"['2019-02-22', '2018-03-01']",0,0.01852385965621491,7
MTD,0.9967094335251766,"['2019-02-08', '2018-02-09']",0,0.008814735706186268,3
MGM,0.9888560222755883,"['2019-02-27', '2018-03-01']",0,-0.002336669818188169,4
MCHP,0.08020086676707654,"['2019-05-30', '2018-05-18']",1,0.15091837430560726,-6
MU,0.9689125121237595,"['2018-10-15', '2017-10-26']",0,0.14061161528323893,11
MSFT,0.9914542640808081,"['2019-08-01', '2018-08-03']",0,0.03152800927065347,4
MAA,0.9911861364672098,"['2019-02-21', '2018-02-23']",0,-0.022961612373151124,4
MHK,0.99328254006083,"['2019-02-28', '2018-02-28']",0,0.08611658800459619,2
TAP,0.9906157022430054,"['2019-02-12', '2018-02-14']",0,-0.03376143736459456,4
MDLZ,0.08719216944516454,"['2019-02-08', '2018-02-09']",1,0.09645599480755278,3
MON,0.9939779570925628,"['2017-10-27', '2016-10-19']",0,-0.029091650827029303,-4
MNST,0.9899255716635321,"['2019-02-28', '2018-03-01']",0,-0.08706399336044407,3
MCO,0.9921539434923784,"['2019-02-25', '2018-02-27']",0,-0.0372585534823713,4
MS,0.9961378101069722,"['2019-02-26', '2018-02-27']",0,-0.01678711296420369,3
MSI,0.9808173229264293,"['2019-02-15', '2018-02-16']",0,-0.0584098672804192,3
NDAQ,0.9881680295677145,"['2019-02-22', '2018-02-28']",0,-0.007647448122817398,6
NOV,0.9819553126597709,"['2019-02-14', '2018-02-16']",0,-0.10431245051550872,4
NAVI,0.9922897155346092,"['2019-02-26', '2018-02-26']",0,0.01798312061782408,2
