,cosine,dates,format_change,sentiment_d,date_delta
BSX,0.9868638391884471,"['2019-02-19', '2018-02-20']",0,-0.07050394264575408,3
BOX,0.9870968454518443,"['2019-03-20', '2018-03-22']",0,0.04846746095828276,4
BYD,0.9883150092027099,"['2019-03-01', '2018-02-26']",0,-0.000983703708021745,-1
BPMP,0.9937133669550122,"['2019-02-28', '2018-03-22']",0,0.3346516499913737,18
BPT,0.9977662587806869,"['2019-03-01', '2018-03-01']",0,0.061776174419574524,2
BRC,0.9835885972787033,"['2019-09-06', '2018-09-13']",0,0.13414248271067186,7
BDN,0.06916469934478635,"['2019-02-22', '2018-02-23']",1,0.12742890758246053,3
BGG,0.07684774114715699,"['2019-08-27', '2018-08-28']",1,0.13241082212168426,3
BFAM,0.9950650506309893,"['2019-02-27', '2018-02-28']",0,0.06148952165606048,3
EAT,0.9871382878665433,"['2019-08-22', '2018-08-27']",0,0.06739829130691634,5
BCO,0.9879095787612067,"['2019-02-26', '2018-03-01']",0,0.2570035673089327,5
BMY,0.9850556770915807,"['2019-02-25', '2018-02-13']",0,-0.06383324681553203,-6
BRX,0.9918849941147214,"['2019-02-11', '2018-02-12']",0,-0.08289874615704915,3
BR,0.08864544414372595,"['2019-08-06', '2018-08-07']",1,-0.009850400234440134,3
RA,0.9876211155722283,"['2012-02-23', '2011-03-04']",0,0.2001977824152483,9
BRO,1.0000000000000027,"['2019-02-26', '2018-02-28']",0,0.0,4
BRT,0.07296486784706725,"['2018-12-10', '2017-12-14']",1,-0.12582979692776824,6
BC,0.9867966476148161,"['2019-02-19', '2018-02-20']",0,0.08131546373606037,3
BPL,0.9907846232175557,"['2019-02-15', '2018-02-23']",0,0.060627667295620996,8
BKE,0.9925834417077228,"['2019-04-03', '2018-04-04']",0,0.021771167413349106,3
BBW,0.9556447580961129,"['2019-04-18', '2018-03-15']",0,0.06412864463528255,-22
BG,0.9949971412123383,"['2019-02-22', '2018-02-23']",0,0.00423870591394016,3
BURL,0.9921101398440032,"['2019-03-20', '2018-03-20']",0,-0.04902176168187168,2
BWXT,0.9858132355918202,"['2019-02-25', '2018-02-27']",0,0.03522503331031564,4
CJ,0.9861638587052618,"['2019-02-27', '2018-03-01']",0,0.1653544329880949,4
CABO,0.9838428650898283,"['2019-02-28', '2018-03-01']",0,-0.006559053670456959,3
CBT,0.9933167500015774,"['2018-11-21', '2017-11-22']",0,0.056385128759271035,3
COG,0.9926119393884594,"['2019-02-26', '2018-03-02']",0,0.16651722033514302,6
CACI,0.9828584754590994,"['2019-08-21', '2018-08-20']",0,-0.0026013892821753863,1
WHD,0.9129136144969737,"['2019-03-15', '2018-03-19']",0,-0.17829587946888983,4
